id,first_name,middle_name,last_name,country_id,born,died
1,Oscar,,Wilde,1,1854,1900
2,Jacke,,Kerouac,2,1922,1969
3,Mary,,Shelley,3,1797,1851
4,Arthur,C.,Clarke,3,1917,2008
5,James,,Clavell,3,1921,1994
6,Henry,,James,3,1843,1916
7,Mark,,Twain,2,1835,1910
8,Edgar,Rice,Burroughs,2,1875,1950
9,Brian,,Herbert,3,1947,0
10,Kevin,J.,Anderson,2,1962,NULL
11,H.,G.,Wells,3,1866,NULL
12,Jane,,Austin,3,1775,NULL
13,Kahlil,,Gabran,4,1883,1931
14,Robert,M.,Pirsig,2,1928,2017
15,James,,Clavell,5,1921,1994
16,Knut,,Hamson,6,1859,1952
17,Ernest,,Hemingway,2,1939,1961
18,Charles,,Dickens,3,1812,1870
19,F.,Scott,Fitzgerald,2,1896,1940
20,Fyodor,,Dostoevsky,7,1821,1881
21,Leo,,Tolstoy,7,1828,1910
